Marca temporal,1. ¿Cuál es tu ocupación laboral principal?,2. ¿Cuál es el nivel máximo de estudios alcanzado en el hogar?,3. Rango de ingreso familiar mensual aproximado (estimado en salarios mínimos):,"4. En tu rutina diaria, ¿cuánto tiempo aproximado convives o apoyas a tus hijos con sus actividades escolares?",5. ¿En qué nivel educativo se encuentran tus hijos actualmente?,6. ¿Cuál es tu grado de conocimiento sobre qué es y cómo funciona la Inteligencia Artificial?,"7. Hasta donde sabes, ¿con qué frecuencia utiliza tu hijo herramientas de IA (ChatGPT, buscadores integrados, etc.) para tareas escolares?",8. ¿Cuáles consideras que son los principales usos que tu hijo le da a la IA?,9. ¿Qué nivel de supervisión mantienes cuando tu hijo utiliza IA u otras herramientas digitales para estudiar?,10. ¿Cómo evalúas el impacto global que la Inteligencia Artificial está teniendo en la educación de tu hijo?,11. ¿Cuál consideras que es el PRINCIPAL beneficio de la IA en el aprendizaje?,12. ¿Cuál consideras que es el PRINCIPAL riesgo del uso de IA en los estudiantes?,13. ¿La institución educativa de tu hijo ha comunicado normas o reglas claras sobre el uso de la IA?,14. ¿Qué postura crees que deberían adoptar las escuelas respecto al uso de la Inteligencia Artificial?
10/09/2026 15:46:43,Empleado/a en sector público / Gobierno,Posgrado (Maestría / Doctorado),Entre 1 y 2 salarios mínimos,Solo los fines de semana,Primaria,5,No lo sé,"Entender o resolver dudas de temas difíciles, Redactar o corregir ensayos y escritos, Buscar información rápidamente, Resolver ejercicios matemáticos o de programación, Generar ideas o resúmenes, Entretenimiento",Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Explicaciones personalizadas a su propio ritmo,Pérdida de la capacidad de pensamiento crítico y análisis,"Sí, normas claras y explícitas",Enseñar a usarla éticamente e integrarla en las materias
10/09/2026 15:47:00,Estudiante,Preparatoria / Bachillerato,Entre 1 y 2 salarios mínimos,Menos de 30 minutos al día,Preparatoria / Bachillerato,1,No lo sé,Entretenimiento,Ninguna (No conozco las herramientas que utiliza),Moderadamente negativo,Ahorro de tiempo en búsquedas de información,Pérdida de la capacidad de pensamiento crítico y análisis,No estoy seguro/a,Enseñar a usarla éticamente e integrarla en las materias
10/09/2026 15:56:12,Comerciante / Empresario/a,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,Entre 1 y 2 horas al día,Primaria,4,Rara vez (1 o 2 veces al mes),Entender o resolver dudas de temas difíciles,Supervisión ocasional (Pregunto de vez en cuando),Neutro (Ni positivo ni negativo),Desarrollo de habilidades tecnológicas para el futuro,Riesgo de entregar trabajos plagiados o no originales,"Mencionaron el tema, pero de forma superficial",Prohibir totalmente su uso en trabajos y tareas
10/09/2026 16:03:01,Estudiante,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,Entre 1 y 2 horas al día,Primaria,5,Varias veces por semana,Entender o resolver dudas de temas difíciles,Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Dependencia tecnológica (incapacidad de trabajar sin IA),"Sí, normas claras y explícitas",Enseñar a usarla éticamente e integrarla en las materias
10/09/2026 16:15:25,Otro,Preparatoria / Bachillerato,Entre 1 y 2 salarios mínimos,Entre 30 minutos y 1 hora al día,Primaria,3,Rara vez (1 o 2 veces al mes),Entender o resolver dudas de temas difíciles,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,"Sí, normas claras y explícitas",Restringirla solo para ciertas actividades específicas
10/09/2026 16:55:32,Empleado/a en sector público / Gobierno,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,Entre 30 minutos y 1 hora al día,Secundaria,5,Diariamente,Entender o resolver dudas de temas difíciles,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),"Mencionaron el tema, pero de forma superficial",Enseñar a usarla éticamente e integrarla en las materias
18/09/2026 19:46:42,Trabajador/a independiente / Free-lance,Técnico superior / Carrera técnica,Entre 1 y 2 salarios mínimos,Menos de 30 minutos al día,"Preparatoria / Bachillerato, Universidad / Licenciatura",5,Diariamente,Entender o resolver dudas de temas difíciles,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Dependencia tecnológica (incapacidad de trabajar sin IA),No estoy seguro/a,Enseñar a usarla éticamente e integrarla en las materias
18/09/2026 20:18:10,Estudiante,Licenciatura / Ingeniería,Entre 1 y 2 salarios mínimos,Entre 1 y 2 horas al día,Universidad / Licenciatura,5,Varias veces por semana,Entender o resolver dudas de temas difíciles,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),No han comunicado nada al respecto,Restringirla solo para ciertas actividades específicas
20/09/2026 8:57:53,Empleado/a en sector público / Gobierno,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,No me es posible apoyarlos por temas de horario,Universidad / Licenciatura,2,Varias veces por semana,"Entender o resolver dudas de temas difíciles, Buscar información rápidamente, Resolver ejercicios matemáticos o de programación",Supervisión ocasional (Pregunto de vez en cuando),Moderadamente positivo,Ahorro de tiempo en búsquedas de información,Exposición a información falsa o no verificada,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
20/09/2026 9:06:04,Trabajador/a independiente / Free-lance,Licenciatura / Ingeniería,Prefiero no responder,Entre 1 y 2 horas al día,Primaria,3,Nunca,No utiliza IA / No lo sé,Supervisión ocasional (Pregunto de vez en cuando),Muy positivo,Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),"Mencionaron el tema, pero de forma superficial",Enseñar a usarla éticamente e integrarla en las materias
